,Municipio,Codigo_IBGE,Populacao,Populacao_60+
173,Estrela d'Oeste,3515202,8094,1685
174,Estrela do Norte,3515301,2665,415
175,Euclides da Cunha Paulista,3515350,9537,1433
176,Fartura,3515400,15644,2921
177,Fernandópolis,3515509,66112,13714
178,Fernando Prestes,3515608,5572,1219
179,Fernão,3515657,1649,316
180,Ferraz de Vasconcelos,3515707,193037,21049
181,Flora Rica,3515806,1589,368
182,Floreal,3515905,2856,764
183,Flórida Paulista,3516002,12120,2048
184,Florínea,3516101,2703,560
185,Franca,3516200,342125,53617
186,Francisco Morato,3516309,174403,18701
187,Franco da Rocha,3516408,152201,17090
188,Gabriel Monteiro,3516507,2684,610
189,Gália,3516606,6563,1438
190,Garça,3516705,42483,8051
191,Gastão Vidigal,3516804,4768,731
192,Gavião Peixoto,3516853,4610,622
193,General Salgado,3516903,10648,2153
194,Getulina,3517000,10847,1805
195,Glicério,3517109,4749,881
196,Guaiçara,3517208,11947,1725
197,Guaimbê,3517307,5534,928
198,Guaíra,3517406,39061,6516
199,Guapiaçu,3517505,20848,3357
200,Guapiara,3517604,17775,2764
201,Guará,3517703,20824,3029
202,Guaraçaí,3517802,8412,1780
203,Guaraci,3517901,10978,1661
204,Guarani d'Oeste,3518008,1922,411
205,Guarantã,3518107,6477,1045
206,Guararapes,3518206,32076,5806
207,Guararema,3518305,29429,4163
208,Guaratinguetá,3518404,118345,20362
209,Guareí,3518503,15750,1965
210,Guariba,3518602,39021,4860
211,Guarujá,3518701,316405,41402
212,Guarulhos,3518800,1351275,162662
213,Guatapará,3518859,7440,1216
214,Guzolândia,3518909,5107,896
215,Herculândia,3519006,9260,1500
216,Holambra,3519055,14493,1881
217,Hortolândia,3519071,230268,26129
218,Iacanga,3519105,11306,1824
219,Iacri,3519204,6272,1251
220,Iaras,3519253,6894,888
221,Ibaté,3519303,34738,4113
222,Ibirá,3519402,12059,2221
223,Ibirarema,3519501,7509,1151
224,Ibitinga,3519600,58501,9244
225,Ibiúna,3519709,76430,10936
226,Icém,3519808,8032,1170
227,Iepê,3519907,7921,1461
228,Igaraçu do Tietê,3520004,24135,3410
229,Igarapava,3520103,29456,4921
230,Igaratá,3520202,9312,1532
231,Iguape,3520301,29465,5406
232,Ilhabela,3520400,33470,3732
233,Ilha Comprida,3520426,10296,2235
234,Ilha Solteira,3520442,25748,5242
235,Indaiatuba,3520509,242868,33887
236,Indiana,3520608,4775,891
237,Indiaporã,3520707,3854,934
238,Inúbia Paulista,3520806,3892,690
239,Ipaussu,3520905,14506,2258
240,Iperó,3521002,34352,4001
241,Ipeúna,3521101,7571,942
242,Ipiguá,3521150,5231,946
243,Iporanga,3521200,4407,657
244,Ipuã,3521309,15861,2027
245,Iracemápolis,3521408,23654,3298
246,Irapuã,3521507,7734,1338
247,Irapuru,3521606,7334,1447
248,Itaberá,3521705,17614,2959
249,Itaí,3521804,26507,3561
250,Itajobi,3521903,14614,3191
251,Itaju,3522000,3654,622
252,Itanhaém,3522109,98757,17117
253,Itaoca,3522158,3186,596
254,Itapecerica da Serra,3522208,169619,18223
255,Itapetininga,3522307,160150,23100
256,Itapeva,3522406,91693,12332
257,Itapevi,3522505,237714,23105
258,Itapira,3522604,71500,13246
259,Itapirapuã Paulista,3522653,4180,557
260,Itápolis,3522703,41548,7560
261,Itaporanga,3522802,14688,2690
262,Itapuí,3522901,13779,2074
263,Itapura,3523008,4916,799
264,Itaquaquecetuba,3523107,370589,37537
265,Itararé,3523206,49018,7477
266,Itariri,3523305,17274,2412
267,Itatiba,3523404,117916,17334
268,Itatinga,3523503,20550,2438
269,Itirapina,3523602,17162,2082
270,Itirapuã,3523701,6279,990
